publisher,video_title,link,date_posted,total_view,dislikes,likes,timestamp
Shiko Nguru,FEARS ABOUT FATHERHOOD | GOODBYE FROM US,https://www.youtube.com/watch?v=pUeP0ktk5zA&t=13s,17/12/2016,933,0,53,1482155502
Shiko Nguru,TIS' THE SEASON! | VLOGMAS,https://www.youtube.com/watch?v=MSJf8r_xRc0,11/12/2016,1224,0,53,1482155503
Shiko Nguru,BEARDS ARE OVERRATED?!,https://www.youtube.com/watch?v=Fz1k77dQG_I,04/12/2016,1986,0,62,1482155504
Shiko Nguru,KEENYA IS TOO EXPENSIVE! | BABY HAUL ,https://www.youtube.com/watch?v=RPTyC9eJx9Y,26/11/2016,2701,0,76,1482155505
Shiko Nguru,FEELING SO GOOD,https://www.youtube.com/watch?v=XLyhdE4kc0A,21/11/2016,1728,0,52,1482155506
Shiko Nguru,"MILESTONES, MOVIES AND MEN WHO COOK",https://www.youtube.com/watch?v=7GI-5zBgvFg,13/11/2016,2406,1,99,1482155507
Shiko Nguru,HAPPY BIRTHDAY ELLA!,https://www.youtube.com/watch?v=fQGtEMXTgB8,06/11/2016,1448,0,40,1482155509
Shiko Nguru,BABY SHOWER,https://www.youtube.com/watch?v=KEy3B9QjE5Q,30/10/2016,2942,0,64,1482155510
Shiko Nguru,"SUN, SWIM and SNAILS?!",https://www.youtube.com/watch?v=WEQQvhPKe30,23/10/2016,2279,0,50,1482155511
Shiko Nguru,DATE NIGHT,https://www.youtube.com/watch?v=TbME98gEtU8,16/10/2016,3383,2,88,1482155512
Shiko Nguru,WE ALMOST MISSED IT!,https://www.youtube.com/watch?v=p_9i1Xfe0GA,09/10/2016,2082,2,41,1482155513
Shiko Nguru,WE GOT SOMETHING HUGE!,https://www.youtube.com/watch?v=QhFpj7onXZM,02/10/2016,2575,0,56,1482155514
Shiko Nguru,HELP!! ELLA AND RAMZZY TO THE RESCUE,https://www.youtube.com/watch?v=MkBzrxM3mnA,25/09/2016,2223,0,53,1482155515
Shiko Nguru,MEET ELLA! (AND SOME YUMMY QUESADILLAS!),https://www.youtube.com/watch?v=TZ8IsxsPYCg,17/09/2016,2943,0,80,1482155516
Shiko Nguru,BOYFRIEND TAG! (Get To Know Us),https://www.youtube.com/watch?v=JLU3hAyBozo&t=221s,11/09/2016,6422,1,197,1482155518
Shiko Nguru,Top 10 Maternity Wear Hacks,https://www.youtube.com/watch?v=R_oaSZKxmFY,04/09/2016,1053,0,12,1482155519
Shiko Nguru,My Cuddle Buddy,https://www.youtube.com/watch?v=m8Bm6CUA4FQ,28/08/2016,1061,1,13,1482155520
Shiko Nguru,Baby Got Back,https://www.youtube.com/watch?v=yEqQVITziNE,15/08/2016,1390,0,15,1482155521